,longitude,latitude,housing_median_age,population,median_income,median_house_value,ocean_proximity,rooms_per_person,houses_per_person
4463,-118.18,34.08,35.0,2230.0,2.9167,129300.0,1,0.9982062780269059,0.2461883408071749
4464,-118.19,34.08,35.0,1487.0,1.9038,139500.0,1,1.0450571620712845,0.25151311365164764
4465,-118.19,34.07,38.0,2128.0,3.0241,166300.0,1,1.393327067669173,0.30545112781954886
4466,-118.19,34.07,42.0,1152.0,3.375,169600.0,1,1.3498263888888888,0.3020833333333333
4467,-118.19,34.06,44.0,1133.0,2.5132,163100.0,1,1.53045013239188,0.30979699911738745
4468,-118.16,34.09,33.0,1345.0,2.375,175000.0,1,1.1263940520446096,0.2572490706319703
4469,-118.16,34.09,50.0,1093.0,3.1442,162100.0,1,1.434583714547118,0.30466605672461117
4470,-118.17,34.09,36.0,3097.0,2.5523,156500.0,1,0.9899903132063287,0.2518566354536648
4471,-118.17,34.09,33.0,3212.0,2.2348,146600.0,1,0.9050435865504358,0.24688667496886674
4472,-118.18,34.08,31.0,1164.0,2.9939,135500.0,1,1.1323024054982818,0.24828178694158076
4473,-118.18,34.08,33.0,1475.0,2.3281,151900.0,1,0.928135593220339,0.2555932203389831
4474,-118.16,34.08,43.0,1338.0,3.2031,144600.0,1,1.1382660687593422,0.26307922272047835
4475,-118.17,34.08,39.0,731.0,3.2279,158500.0,1,1.076607387140903,0.2448700410396717
4476,-118.17,34.08,33.0,936.0,3.375,147500.0,1,0.9091880341880342,0.24358974358974358
4477,-118.18,34.07,28.0,2218.0,2.6842,156000.0,1,1.1794409377817854,0.2799819657348963
4478,-118.17,34.07,19.0,1510.0,3.4952,150000.0,1,1.423841059602649,0.30927152317880796
4479,-118.16,34.07,41.0,925.0,3.5769,135700.0,1,0.267027027027027,0.05405405405405406
4480,-118.17,34.07,37.0,814.0,3.875,148500.0,1,1.4189189189189189,0.29606879606879605
4481,-118.18,34.06,27.0,2189.0,2.6083,148600.0,1,0.9250799451804477,0.2635906806761078
4482,-118.19,34.06,32.0,748.0,1.9762,137500.0,1,0.7419786096256684,0.2179144385026738
4483,-118.19,34.06,47.0,3020.0,1.1868,93800.0,1,0.7695364238410596,0.1966887417218543
4484,-118.2,34.06,46.0,533.0,2.2961,112500.0,1,0.849906191369606,0.24765478424015008
4485,-118.2,34.06,40.0,1441.0,2.1136,111800.0,1,0.8195697432338653,0.2338653712699514
4486,-118.2,34.05,8.0,728.0,2.4886,137500.0,1,1.0467032967032968,0.23901098901098902
4487,-118.19,34.05,46.0,1435.0,1.6667,133600.0,1,0.732404181184669,0.21254355400696864
4488,-118.2,34.05,36.0,2883.0,2.0885,142800.0,1,0.9268123482483525,0.23378425251474158
4489,-118.19,34.05,37.0,276.0,3.2125,125000.0,1,1.2644927536231885,0.2318840579710145
4490,-118.2,34.06,46.0,401.0,2.1029,109400.0,1,0.800498753117207,0.2144638403990025
4491,-118.21,34.06,30.0,1152.0,2.3611,156800.0,1,0.4435763888888889,0.1293402777777778
4493,-118.22,34.05,36.0,1668.0,1.0714,137500.0,1,0.7452038369304557,0.26618705035971224
4495,-118.22,34.06,34.0,1132.0,2.2344,153100.0,1,0.9567137809187279,0.29858657243816256
4496,-118.22,34.05,34.0,928.0,3.1654,155000.0,1,1.199353448275862,0.3125
4497,-118.22,34.05,41.0,1640.0,1.6122,157100.0,1,0.8670731707317073,0.2646341463414634
4498,-118.21,34.05,26.0,694.0,1.3846,129200.0,1,1.0734870317002883,0.3400576368876081
4499,-118.21,34.05,28.0,1358.0,2.52,131900.0,1,0.7945508100147275,0.20986745213549338
4500,-118.21,34.05,28.0,1485.0,1.9271,136400.0,1,0.6397306397306397,0.23232323232323232
4501,-118.21,34.05,45.0,2868.0,2.121,144000.0,1,0.7482566248256625,0.21792189679218968
4502,-118.2,34.05,43.0,1279.0,1.9615,141700.0,1,0.9108678655199375,0.236903831118061
4503,-118.2,34.05,40.0,1354.0,1.9205,121900.0,1,0.8463810930576071,0.23707533234859676
4504,-118.2,34.05,40.0,1085.0,1.7054,117200.0,1,0.9972350230414746,0.25161290322580643
4505,-118.2,34.05,42.0,2490.0,2.02,147200.0,1,0.6839357429718875,0.23333333333333334
4506,-118.2,34.05,41.0,1887.0,2.625,150000.0,1,0.6719660837307896,0.21568627450980393
4507,-118.19,34.05,43.0,1084.0,2.7708,127900.0,1,0.9012915129151291,0.238929889298893
4508,-118.19,34.05,41.0,1178.0,2.1058,124300.0,1,0.9320882852292021,0.20797962648556875
4509,-118.2,34.05,50.0,1526.0,2.29,121800.0,1,0.9220183486238532,0.25229357798165136
4510,-118.19,34.04,45.0,1194.0,2.1806,134900.0,1,0.8065326633165829,0.20016750418760468
4511,-118.19,34.04,40.0,1322.0,1.9688,150000.0,1,0.8282904689863843,0.21255673222390317
4513,-118.19,34.03,50.0,851.0,3.2639,142600.0,1,1.390129259694477,0.27144535840188017
4515,-118.2,34.04,47.0,1629.0,3.7619,127600.0,1,1.1626764886433394,0.23265807243707795
4517,-118.2,34.04,44.0,1419.0,1.8224,143800.0,1,0.9859055673009162,0.262861169837914
4518,-118.2,34.04,36.0,2003.0,2.181,147200.0,1,0.8112830753869196,0.23864203694458314
4519,-118.2,34.04,44.0,1998.0,1.6888,125000.0,1,0.7917917917917918,0.2577577577577578
4520,-118.2,34.04,18.0,547.0,1.0333,135400.0,1,1.4552102376599634,0.39853747714808047
4521,-118.21,34.04,36.0,2097.0,2.1862,135300.0,1,0.8702908917501192,0.22889842632331903
4522,-118.21,34.04,37.0,881.0,2.2454,165000.0,1,0.9591373439273553,0.28603859250851305
4523,-118.21,34.04,47.0,1557.0,2.8,148400.0,1,0.8509955041746949,0.22607578676942838
4524,-118.21,34.05,28.0,3199.0,1.6319,151600.0,1,0.5754923413566739,0.22725851828696467
4526,-118.22,34.05,43.0,1667.0,1.9402,139300.0,1,0.6916616676664668,0.2453509298140372
4527,-118.21,34.05,47.0,930.0,2.5455,114300.0,1,0.7763440860215054,0.24301075268817204
4528,-118.22,34.04,43.0,1417.0,1.4189,141700.0,1,0.5631616090331687,0.22935779816513763
4529,-118.22,34.05,44.0,1598.0,1.2,115600.0,1,0.6914893617021277,0.2327909887359199
4530,-118.22,34.04,43.0,2468.0,1.5163,115000.0,1,0.9493517017828201,0.28646677471636955
4531,-118.21,34.04,43.0,1844.0,1.9405,152500.0,1,0.8145336225596529,0.2586767895878525
4532,-118.21,34.04,47.0,1499.0,2.2788,139600.0,1,0.8712474983322215,0.23082054703135424
4533,-118.22,34.03,45.0,888.0,1.8125,139600.0,1,0.6238738738738738,0.24549549549549549
4534,-118.21,34.03,45.0,1893.0,2.6573,141800.0,1,0.9825673534072901,0.24088748019017434
4535,-118.21,34.03,44.0,1718.0,2.5268,141100.0,1,0.9022118742724098,0.23457508731082655
4537,-118.21,34.03,47.0,872.0,2.2656,145000.0,1,1.0045871559633028,0.26490825688073394
4538,-118.2,34.03,41.0,1150.0,1.925,135200.0,1,1.1234782608695653,0.28
4539,-118.2,34.02,49.0,1411.0,2.75,146000.0,1,0.7781715095676824,0.21332388377037562
4541,-118.2,34.03,37.0,1776.0,2.7266,140800.0,1,0.8913288288288288,0.21227477477477477
4543,-118.21,34.02,45.0,872.0,2.6875,129700.0,1,0.908256880733945,0.21559633027522937
4544,-118.19,34.02,44.0,3260.0,2.3575,144800.0,1,0.8288343558282208,0.22116564417177914
4545,-118.2,34.02,48.0,2419.0,2.3944,130700.0,1,0.9218685407193055,0.2472095907399752
4546,-118.2,34.02,26.0,35.0,1.625,175000.0,1,1.0285714285714285,0.2571428571428571
4547,-118.2,34.02,42.0,548.0,3.7543,126600.0,1,0.9087591240875912,0.21715328467153286
4549,-118.21,34.02,43.0,2123.0,1.3615,133300.0,1,0.8530381535562883,0.22939236928874235
4551,-118.24,34.05,13.0,1823.0,0.8288,181300.0,1,0.934174437739989,0.36697750959956116
4553,-118.24,34.06,33.0,435.0,1.1979,350000.0,1,0.896551724137931,0.4436781609195402
4554,-118.24,34.06,8.0,1074.0,1.0227,87500.0,1,1.1210428305400373,0.4813780260707635
4555,-118.24,34.06,19.0,3325.0,1.7395,162500.0,1,0.8631578947368421,0.29413533834586464
4557,-118.25,34.05,8.0,1086.0,0.8131,275000.0,1,2.8591160220994474,0.91804788213628
4558,-118.25,34.06,12.0,1673.0,5.3081,287500.0,1,2.397489539748954,0.6503287507471608
4560,-118.26,34.04,6.0,1051.0,2.462,162500.0,1,1.4548049476688867,0.45004757373929594
4562,-118.26,34.06,15.0,490.0,1.4886,175000.0,1,0.6653061224489796,0.21428571428571427
4563,-118.26,34.06,40.0,1150.0,1.8625,131300.0,1,0.5539130434782609,0.22869565217391305
4565,-118.26,34.07,40.0,995.0,2.2607,165600.0,1,0.6834170854271356,0.25025125628140704
4566,-118.26,34.07,30.0,763.0,2.5227,187500.0,1,1.217562254259502,0.2804718217562254
4567,-118.26,34.06,38.0,1174.0,2.345,225000.0,1,0.6090289608177172,0.2555366269165247
4568,-118.26,34.06,42.0,3974.0,1.5854,87500.0,1,0.6394061399094112,0.29919476597886263
4569,-118.27,34.07,42.0,1593.0,2.3438,213300.0,1,0.7376020087884495,0.25549278091650973
4570,-118.27,34.06,30.0,2188.0,1.5885,154200.0,1,0.8094149908592322,0.3491773308957952
4571,-118.27,34.07,34.0,1239.0,2.3438,152100.0,1,0.6343825665859564,0.258272800645682
4572,-118.27,34.07,32.0,2071.0,2.1135,152500.0,1,0.8000965717044906,0.28874939642684694
4573,-118.27,34.06,33.0,2013.0,1.9818,208300.0,1,0.7034277198211625,0.3050173869846001
4574,-118.27,34.07,33.0,1533.0,2.3981,183300.0,1,0.7677756033920418,0.2804957599478147
4575,-118.28,34.07,41.0,1111.0,1.9233,207100.0,1,0.9648964896489649,0.2826282628262826
4576,-118.28,34.07,24.0,2642.0,2.4632,216700.0,1,1.228993186979561,0.4473883421650265
4577,-118.28,34.07,14.0,2226.0,2.2552,265900.0,1,0.8643306379155435,0.3557951482479784
4578,-118.28,34.07,32.0,1684.0,2.3636,190000.0,1,1.0552256532066508,0.29038004750593827
4579,-118.28,34.07,25.0,7221.0,2.0173,177500.0,1,1.0416839772884643,0.40188339565157183
4580,-118.28,34.06,14.0,2251.0,1.1642,400000.0,1,0.7938693913816082,0.3389604620168814
4581,-118.28,34.06,17.0,3051.0,1.7199,175000.0,1,0.8253031792854801,0.3277613897082924
4582,-118.27,34.06,17.0,3915.0,1.1346,137500.0,1,0.542528735632184,0.29042145593869734
4583,-118.27,34.06,25.0,3723.0,1.3241,112500.0,1,0.4603814128391083,0.27827021219446685
4584,-118.27,34.06,45.0,1172.0,1.494,187500.0,1,0.4812286689419795,0.2721843003412969
4585,-118.27,34.06,26.0,1204.0,1.4904,275000.0,1,0.4260797342192691,0.2666112956810631
4586,-118.26,34.06,33.0,3707.0,1.7238,110000.0,1,0.5260318316698138,0.27299703264094954
4587,-118.27,34.05,37.0,1122.0,2.7634,137500.0,1,0.31194295900178254,0.22103386809269163
4591,-118.28,34.06,42.0,3795.0,1.2254,162500.0,1,0.6513833992094862,0.31067193675889326
4592,-118.27,34.05,25.0,2796.0,1.7866,325000.0,1,0.47067238912732473,0.2804005722460658
4593,-118.27,34.05,26.0,1685.0,1.5727,225000.0,1,0.6908011869436201,0.32106824925816024
4594,-118.28,34.05,28.0,2079.0,1.4615,275000.0,1,0.6281866281866282,0.28763828763828764
4595,-118.28,34.05,31.0,2510.0,1.6355,162500.0,1,0.6075697211155379,0.2597609561752988
4596,-118.28,34.05,41.0,2931.0,1.4413,158900.0,1,0.6100307062436029,0.23950870010235414
4597,-118.28,34.05,41.0,2260.0,1.3,162500.0,1,0.4756637168141593,0.27168141592920353
4598,-118.28,34.05,44.0,1805.0,1.4801,212500.0,1,0.5362880886426593,0.2077562326869806
4599,-118.27,34.05,47.0,1406.0,1.3169,112500.0,1,0.4701280227596017,0.21834992887624466
4600,-118.27,34.04,13.0,2158.0,1.7038,118100.0,1,0.8266913809082483,0.3160333642261353
4601,-118.27,34.05,24.0,751.0,1.8304,225000.0,1,0.43009320905459386,0.25166444740346205
4602,-118.27,34.05,12.0,1194.0,1.2012,275000.0,1,0.4480737018425461,0.30569514237855944
4609,-118.29,34.08,49.0,987.0,1.6806,316700.0,1,0.6575481256332321,0.3333333333333333
4610,-118.29,34.07,19.0,2465.0,2.5386,290600.0,1,1.2223123732251522,0.40892494929006085
4611,-118.29,34.06,9.0,1704.0,2.0185,141700.0,1,0.9119718309859155,0.4465962441314554
4612,-118.29,34.07,22.0,634.0,1.6406,300000.0,1,0.7760252365930599,0.4116719242902208
4613,-118.29,34.07,26.0,2660.0,2.3567,253100.0,1,0.8654135338345864,0.3774436090225564
4614,-118.29,34.08,43.0,3920.0,1.925,300000.0,1,0.7795918367346939,0.3326530612244898
4615,-118.3,34.07,31.0,1793.0,2.4348,230600.0,1,0.8304517568321249,0.3100948131622978
4616,-118.3,34.07,46.0,7443.0,1.8238,237500.0,1,0.7627300819562005,0.3232567513099557
4617,-118.3,34.07,26.0,2660.0,2.3375,282300.0,1,0.7921052631578948,0.2781954887218045
4618,-118.3,34.07,36.0,2274.0,3.425,281700.0,1,1.1684256816182939,0.3179419525065963
4619,-118.31,34.07,28.0,2759.0,2.2364,305600.0,1,0.8561072852482784,0.3240304458137006
4620,-118.31,34.08,49.0,1539.0,2.6218,350900.0,1,1.6562703053931125,0.38596491228070173
4621,-118.31,34.07,40.0,2149.0,2.2653,445000.0,1,1.2363890181479757,0.3485342019543974
4623,-118.31,34.06,36.0,145.0,0.8804,450000.0,1,2.5448275862068965,0.9379310344827586
4625,-118.32,34.07,25.0,1420.0,3.5909,404500.0,1,1.9295774647887325,0.4676056338028169
4627,-118.31,34.07,26.0,4533.0,2.3105,166700.0,1,1.116699757335098,0.40194131921464815
4628,-118.31,34.06,30.0,2535.0,1.6987,412500.0,1,1.2268244575936884,0.4804733727810651
4629,-118.3,34.07,18.0,3296.0,2.2708,175000.0,1,1.1404733009708738,0.44356796116504854
4631,-118.3,34.06,20.0,1749.0,2.2094,75000.0,1,1.0188679245283019,0.4705546026300743
4632,-118.31,34.06,34.0,2326.0,1.9038,325000.0,1,1.061908856405847,0.45356835769561477
4633,-118.29,34.07,24.0,3727.0,1.7365,112500.0,1,1.0788838207673732,0.4102495304534478
4634,-118.3,34.07,28.0,5840.0,1.8829,300000.0,1,0.8940068493150685,0.4065068493150685
4635,-118.3,34.06,43.0,942.0,1.6953,150000.0,1,1.4501061571125264,0.7133757961783439
4636,-118.29,34.06,42.0,6846.0,1.5553,70000.0,1,0.5687992988606485,0.3149284253578732
4637,-118.29,34.06,27.0,4137.0,1.5954,187500.0,1,0.5936669083877205,0.2668600435097897
4638,-118.29,34.06,46.0,2716.0,2.1637,350000.0,1,0.6476435935198822,0.3229013254786451
4639,-118.3,34.06,47.0,2860.0,1.468,137500.0,1,0.486013986013986,0.2891608391608392
4640,-118.29,34.06,23.0,2235.0,1.9309,233300.0,1,0.912751677852349,0.3118568232662192
4641,-118.3,34.06,33.0,3906.0,2.0332,270000.0,1,0.6239119303635433,0.27752176139272916
4642,-118.3,34.06,21.0,3468.0,1.8214,475000.0,1,1.1418685121107266,0.38494809688581316
4643,-118.3,34.06,23.0,3720.0,1.7896,322200.0,1,0.6752688172043011,0.30053763440860215
4645,-118.31,34.06,47.0,4225.0,1.6725,187500.0,1,0.7190532544378698,0.3484023668639053
4646,-118.31,34.06,34.0,1351.0,2.0547,410000.0,1,1.3678756476683938,0.4359733530717987
4648,-118.31,34.06,31.0,3107.0,2.0278,360000.0,1,0.9098809140650145,0.3196009011908594
4649,-118.31,34.06,14.0,1639.0,1.9949,380000.0,1,0.951189749847468,0.34594264795607077
4650,-118.32,34.05,42.0,2224.0,3.5517,291500.0,1,1.4802158273381294,0.30305755395683454
4651,-118.32,34.06,43.0,1654.0,4.125,436800.0,1,1.69770253929867,0.34401451027811364
4652,-118.32,34.06,36.0,1383.0,4.5918,337000.0,1,2.342010122921186,0.44251626898047725
4654,-118.33,34.05,48.0,1868.0,3.375,257800.0,1,1.287473233404711,0.26873661670235544
4655,-118.33,34.05,44.0,1323.0,2.5284,226300.0,1,1.1897203325774754,0.30536659108087677
4656,-118.33,34.05,45.0,1446.0,2.1736,171300.0,1,1.1804979253112033,0.32226832641770403
4657,-118.32,34.05,50.0,976.0,1.5882,327300.0,1,1.423155737704918,0.3094262295081967
4658,-118.32,34.05,42.0,3480.0,1.9923,250000.0,1,0.960632183908046,0.3293103448275862
4659,-118.31,34.05,35.0,1578.0,2.5313,305800.0,1,1.0722433460076046,0.2572877059569075
4660,-118.31,34.05,40.0,1161.0,3.1406,417600.0,1,1.4358311800172265,0.330749354005168
4661,-118.3,34.05,44.0,2028.0,1.9152,115600.0,1,0.7948717948717948,0.29240631163708086
4662,-118.3,34.05,42.0,1605.0,1.721,214300.0,1,0.9196261682242991,0.3395638629283489
4663,-118.31,34.05,42.0,582.0,2.2937,350000.0,1,0.761168384879725,0.38316151202749144
4664,-118.3,34.05,46.0,1845.0,2.1414,157700.0,1,0.751219512195122,0.26287262872628725
4665,-118.3,34.05,31.0,2034.0,2.2684,193800.0,1,0.8574237954768928,0.3112094395280236
4666,-118.29,34.05,30.0,1615.0,1.3867,193800.0,1,0.8773993808049536,0.33436532507739936
4667,-118.29,34.05,34.0,1325.0,1.5972,168800.0,1,0.8316981132075472,0.33132075471698114
4668,-118.3,34.05,36.0,1664.0,1.9323,161100.0,1,1.0354567307692308,0.3010817307692308
4669,-118.3,34.05,34.0,1987.0,2.096,187500.0,1,0.7312531454453951,0.2964267740312028
4670,-118.29,34.05,18.0,5229.0,1.847,250000.0,1,0.6855995410212278,0.2933639319181488
4671,-118.29,34.05,11.0,1143.0,2.3864,350000.0,1,0.5923009623797025,0.2983377077865267
4672,-118.29,34.05,31.0,4126.0,2.053,229200.0,1,0.6829859428017451,0.290838584585555
4685,-118.35,34.07,48.0,434.0,3.6111,450000.0,1,2.0506912442396312,0.5345622119815668
4686,-118.35,34.07,45.0,3359.0,3.3594,287500.0,1,2.323012801428997,0.6076213158678178
4687,-118.35,34.07,46.0,512.0,4.0179,350000.0,1,3.224609375,0.775390625
4689,-118.36,34.07,40.0,777.0,2.3375,355200.0,1,2.3436293436293436,0.5675675675675675
4690,-118.36,34.07,48.0,748.0,4.7019,411100.0,1,2.3262032085561497,0.4772727272727273
4691,-118.37,34.07,50.0,1117.0,4.3667,405600.0,1,2.2551477170993732,0.4619516562220233
4695,-118.37,34.07,44.0,1045.0,3.201,287500.0,1,2.586602870813397,0.5923444976076555
4696,-118.37,34.07,39.0,870.0,3.1677,453400.0,1,2.654022988505747,0.6275862068965518
4699,-118.38,34.07,16.0,1897.0,3.3725,375000.0,1,2.5376910911966264,0.6373220875065894
4708,-118.35,34.06,48.0,716.0,3.7167,385000.0,1,1.8910614525139664,0.43156424581005587
4710,-118.35,34.05,33.0,1416.0,2.6781,328800.0,1,2.0338983050847457,0.519774011299435
4711,-118.35,34.06,48.0,1601.0,3.2279,400000.0,1,2.217988757026858,0.5165521549031855
4712,-118.36,34.06,39.0,1109.0,3.25,355000.0,1,2.533814247069432,0.5626690712353472
4716,-118.38,34.06,28.0,991.0,3.1475,362500.0,1,2.544904137235116,0.579212916246216
4717,-118.38,34.06,29.0,1676.0,2.7824,450000.0,1,2.3544152744630074,0.522673031026253
4718,-118.38,34.06,31.0,1987.0,2.8233,310000.0,1,2.186713638651233,0.5385002516356316
4720,-118.37,34.05,35.0,1159.0,3.0862,345300.0,1,2.1199309749784296,0.451251078515962
4722,-118.37,34.05,48.0,539.0,4.005,275000.0,1,2.3487940630797772,0.41187384044526903
4723,-118.37,34.05,41.0,1252.0,2.9883,296100.0,1,1.8921725239616614,0.4169329073482428
4728,-118.36,34.05,48.0,728.0,3.3824,322600.0,1,2.506868131868132,0.49862637362637363
4729,-118.36,34.05,47.0,632.0,4.0625,295200.0,1,2.2531645569620253,0.439873417721519
4730,-118.36,34.05,48.0,956.0,3.2813,243600.0,1,1.9194560669456067,0.38702928870292885
4731,-118.36,34.04,49.0,462.0,2.7917,242000.0,1,2.153679653679654,0.4199134199134199
4732,-118.36,34.05,45.0,946.0,3.3333,254700.0,1,1.9862579281183932,0.4323467230443975
4733,-118.36,34.05,50.0,1724.0,3.0833,338100.0,1,2.0406032482598606,0.4396751740139211
4735,-118.39,34.05,47.0,724.0,5.7509,474100.0,1,2.2389502762430937,0.42955801104972374
4738,-118.38,34.05,49.0,458.0,4.8958,333600.0,1,1.5327510917030567,0.40829694323144106
4739,-118.38,34.05,40.0,1133.0,3.238,287500.0,1,2.0759046778464256,0.4969108561341571
4741,-118.35,34.05,47.0,1533.0,2.5806,234100.0,1,1.8362687540769733,0.38747553816046965
4742,-118.35,34.05,44.0,1374.0,2.0984,158000.0,1,1.3508005822416302,0.3413391557496361
4743,-118.36,34.05,42.0,674.0,2.8793,202100.0,1,2.035608308605341,0.4020771513353116
4744,-118.36,34.05,45.0,1093.0,2.5658,252000.0,1,2.088746569075938,0.434583714547118
4745,-118.35,34.05,46.0,905.0,2.8841,290800.0,1,2.374585635359116,0.4895027624309392
4746,-118.34,34.05,50.0,1130.0,3.1944,213500.0,1,1.7778761061946902,0.35575221238938054
4747,-118.34,34.05,39.0,723.0,2.2725,140600.0,1,1.3485477178423237,0.3941908713692946
4750,-118.32,34.04,39.0,2638.0,2.532,172700.0,1,1.1239575435936315,0.3009855951478393
4751,-118.32,34.04,39.0,1140.0,2.2554,165000.0,1,1.1350877192982456,0.27456140350877195
4752,-118.32,34.04,48.0,953.0,2.3526,156300.0,1,1.242392444910808,0.32633788037775446
4753,-118.33,34.04,31.0,955.0,2.913,192500.0,1,1.1413612565445026,0.25026178010471206
4754,-118.33,34.05,46.0,2300.0,2.0706,268500.0,1,1.3108695652173914,0.31521739130434784
4756,-118.34,34.05,41.0,1369.0,2.7409,167100.0,1,1.533235938641344,0.33966398831263694
4757,-118.34,34.04,35.0,2042.0,2.5955,139700.0,1,1.1483839373163565,0.27668952007835457
4758,-118.34,34.04,40.0,2140.0,2.2254,127100.0,1,0.9644859813084112,0.2883177570093458
4759,-118.34,34.04,37.0,1835.0,1.7014,123200.0,1,0.7989100817438692,0.2724795640326976
4760,-118.35,34.04,36.0,1672.0,1.8685,150700.0,1,1.1698564593301435,0.326555023923445
4761,-118.35,34.04,49.0,668.0,3.0856,151600.0,1,1.652694610778443,0.44461077844311375
4762,-118.35,34.04,45.0,713.0,2.1711,179200.0,1,2.214586255259467,0.46984572230014027
4763,-118.36,34.04,48.0,993.0,2.3214,139400.0,1,1.7814702920443102,0.4078549848942598
4764,-118.36,34.04,45.0,1052.0,3.5161,157000.0,1,1.679657794676806,0.3602661596958175
4765,-118.35,34.04,38.0,1019.0,2.3687,146800.0,1,1.5956820412168793,0.3650637880274779
4766,-118.36,34.03,43.0,1017.0,2.1078,133500.0,1,1.6617502458210422,0.3529990167158309
4767,-118.37,34.03,37.0,966.0,3.0694,122200.0,1,1.279503105590062,0.3022774327122153
4768,-118.36,34.04,34.0,2331.0,2.0538,125800.0,1,1.3895323895323894,0.3281853281853282
4769,-118.35,34.04,41.0,1110.0,2.4635,169400.0,1,1.4567567567567568,0.33783783783783783
4770,-118.35,34.03,44.0,537.0,1.9,110900.0,1,1.6108007448789572,0.3407821229050279
4771,-118.35,34.04,45.0,1312.0,2.5625,138000.0,1,1.4016768292682926,0.35060975609756095
4772,-118.34,34.04,42.0,987.0,2.6,171400.0,1,1.7031408308004052,0.3414387031408308
4773,-118.34,34.03,48.0,784.0,1.6581,118800.0,1,1.8188775510204083,0.45408163265306123
4774,-118.34,34.04,42.0,1203.0,1.9408,134600.0,1,1.6708229426433916,0.3549459684123026
4775,-118.35,34.03,35.0,794.0,1.975,138100.0,1,1.8110831234256928,0.3853904282115869
4776,-118.33,34.04,33.0,1161.0,2.5927,161500.0,1,1.5555555555555556,0.3385012919896641
4777,-118.33,34.03,33.0,1714.0,1.7377,183900.0,1,1.3500583430571762,0.3395565927654609
4778,-118.33,34.04,48.0,1400.0,2.628,251100.0,1,1.7407142857142857,0.30428571428571427
4779,-118.32,34.04,47.0,1430.0,1.8333,151100.0,1,1.3909090909090909,0.36293706293706296
4780,-118.32,34.04,42.0,1117.0,2.0259,168800.0,1,1.5810205908683974,0.3285586392121755
4781,-118.32,34.04,44.0,544.0,2.8654,176800.0,1,1.8529411764705883,0.4099264705882353
4782,-118.32,34.03,35.0,2221.0,2.1046,114000.0,1,1.435839711841513,0.3606483565961279
4783,-118.33,34.03,39.0,1911.0,1.9018,137500.0,1,1.4861329147043432,0.36002093144950287
4784,-118.32,34.03,47.0,455.0,3.0132,223200.0,1,2.378021978021978,0.42417582417582417
4785,-118.32,34.03,50.0,1109.0,2.8971,127800.0,1,1.6636609558160504,0.30207394048692515
4786,-118.32,34.03,47.0,1272.0,3.1731,121500.0,1,1.3632075471698113,0.3443396226415094
4789,-118.32,34.02,47.0,1120.0,2.0042,114200.0,1,1.4714285714285715,0.30178571428571427
4790,-118.33,34.02,45.0,928.0,1.8783,118200.0,1,1.7963362068965518,0.4040948275862069
4791,-118.33,34.02,46.0,933.0,2.1979,125700.0,1,1.637727759914255,0.39228295819935693
4792,-118.33,34.03,46.0,1552.0,1.6429,125000.0,1,1.4896907216494846,0.38853092783505155
4793,-118.34,34.02,48.0,684.0,4.2218,181000.0,1,2.3596491228070176,0.4649122807017544
4794,-118.34,34.02,44.0,1046.0,3.5357,156900.0,1,1.9760994263862333,0.4216061185468451
4795,-118.35,34.03,49.0,1334.0,1.89,124000.0,1,1.749625187406297,0.3350824587706147
4796,-118.35,34.03,43.0,1510.0,2.2273,123300.0,1,1.405298013245033,0.28874172185430463
4798,-118.35,34.03,42.0,1634.0,1.9928,125400.0,1,1.2503059975520197,0.30660954712362304
4799,-118.36,34.03,36.0,1023.0,2.1324,143800.0,1,1.0586510263929618,0.2883675464320626
4800,-118.36,34.03,40.0,1847.0,1.8316,113500.0,1,1.257715213860314,0.33243096913914455
4801,-118.36,34.03,38.0,1139.0,2.2368,120000.0,1,1.2291483757682178,0.276558384547849
4802,-118.36,34.03,35.0,1666.0,1.6452,125900.0,1,1.0918367346938775,0.2893157262905162
4803,-118.36,34.03,38.0,2259.0,2.0879,120700.0,1,1.0469234174413458,0.2687029659141213
4804,-118.37,34.03,43.0,811.0,3.3636,140900.0,1,1.6646115906288532,0.3785450061652281
4805,-118.34,34.03,46.0,1151.0,2.4444,134100.0,1,2.117289313640313,0.4144222415291051
4806,-118.34,34.02,49.0,896.0,2.5156,136600.0,1,1.7957589285714286,0.4341517857142857
4807,-118.34,34.02,50.0,685.0,3.1442,130300.0,1,1.710948905109489,0.3795620437956204
4808,-118.34,34.03,49.0,765.0,3.4306,130200.0,1,1.6928104575163399,0.3464052287581699
4809,-118.34,34.03,47.0,1349.0,1.3444,125000.0,1,1.4284655300222386,0.3765752409191994
4810,-118.36,34.02,43.0,796.0,1.7159,189700.0,1,1.7035175879396984,0.41331658291457285
4811,-118.37,34.03,41.0,838.0,3.9732,188400.0,1,1.7004773269689737,0.3532219570405728
4812,-118.37,34.02,44.0,981.0,2.6154,193200.0,1,1.981651376146789,0.3843017329255861
4813,-118.28,34.05,35.0,3013.0,1.5565,152500.0,1,0.5399933620975772,0.2625290408230999
4814,-118.28,34.04,39.0,1857.0,2.1696,153400.0,1,0.6219709208400647,0.22832525578890683
4815,-118.29,34.04,41.0,1224.0,2.0817,132500.0,1,0.5383986928104575,0.2369281045751634
4816,-118.29,34.05,40.0,1426.0,1.8571,143800.0,1,0.6360448807854138,0.226507713884993
4817,-118.29,34.04,48.0,1945.0,2.4359,123700.0,1,0.6956298200514138,0.25038560411311056
